question,option_a,option_b,option_c,option_d,section,image,answer,solution,examtype,examyear
The candidate's charisma should be a..………factor in winning the election. ,determinant ,determinate,determining ,determinable ,most appropriate option,,c,,utme,2003
The woman is one? of the …………. of the society.,elitist  , elites ,ellte,elitists ,most appropriate option,,c,,utme,2003
Students could be <i>timid</i>,Pugnacious ,friendly ,bold ,covetous,opposite in meaning to the word(s) or phrase in italics ,,c,,utme,2003
"A few years ago, nobody would have believed that the economy would <i>turn around </i>",change ,deteriorate ,improve ,stagnate ,choose the option nearest in meaning to the word(s) or phrase in italics.,,a,,utme,2003
The labour leader’s <i>recalcitrant</i> stance was applauded ,flexible ,uncompromising ,well-informed ,stubborn ,opposite in meaning to the word(s) or phrase in italics ,,a,,utme,2003
Idakwo ran……………. miss the train,lest he may, lest ha should,lest he almost   ,lest he will ,most appropriate option,,b,,utme,2003
"As Obande does not know anyone in this city, he hopes that some kind …………  will put him up for the night",man,men ,inhabitants ,individuals,most appropriate option,,a,,utme,2003
,wife,of,off,laugh,choose the option that has a different consonant sound from the others.,,b,,utme,2003
The <i>cynics</i>  feared that the nation’s nascent democracy would fail,illusionists,pessimists,delinquents,critics,choose the option nearest in meaning to the word(s) or phrase in italics.,,b,,utme,2003
The reason why he was not offered admission was …………… his results could not be found.,that   ,when  ,owing to ,because ,most appropriate option,,a,,utme,2003
1 have the ……… of meeting the President.,privilege  ,privelege ,previlege ,privilege ,most appropriate option,,d,,utme,2003
The company has continued to <i>monopolize</i> the distribution of the products.,regularize ,liberalize ,centralize ,specialize ,opposite in meaning to the word(s) or phrase in italics ,,b,,utme,2003
"Three quarters of the people in the village  killed but only half of then 
          huts……. affected  
",were/ were ,was/was,were/ was,was/were ,most appropriate option,,c,,utme,2003
 <u>Ch</u>alet,chairman,College,champagne,Chemical,choose the option that has the same consonant sound as the one represented by the letter(s) underlined.  ,,c,,utme,2003
The agency has sworn to deal  with all the <i>apostles</i>  of confederation ,opponents ,apostates ,Proponents ,Protagonists ,opposite in meaning to the word(s) or phrase in italics ,,a,,utme,2003
The witness decided to <i>conceal</i> the evidence ,waive ,divulge ,hide,destroy ,opposite in meaning to the word(s) or phrase in italics ,,b,,utme,2003
Mark<u>e</u>t  ,mortgage , bachelor , get , enter ,choose the option that has the same vowel sound as the one represented by the letter(s) underlined.,,a,,utme,2003
If you saw the photograph of the man……………………you be able to identify him?,could,would   ,can ,will ,most appropriate option,,b,,utme,2003
The President SPOKE to the press ,Did the Present write to the press?,Did the president speak to the press?,Who spoke to the press?,Are these the pressmen that the President spoke to?,word in capital letters has the emphatic stress. Choose the option to which the sentence relates.,,a,,utme,2003
The carpenter built a <i>commodious</i> wardrobe ,wide ,gigantic ,small ,spacious,choose the option nearest in meaning to the word(s) or phrase in italics.,,d,,utme,2003
The members of the congregation were <i>inspired</i> by the sermon ,enthralled ,disenchanted ,disoriented ,bewitched ,opposite in meaning to the word(s) or phrase in italics ,,b,,utme,2003
He is well known for his <i>inordinate</i> ambition ,passionate ,sound ,excessive,moderate ,opposite in meaning to the word(s) or phrase in italics ,,d,,utme,2003
A cool bath in a hot weather can be truly <i>invigorating</i> ,debilitating ,devastating ,disgusting ,unpalatable,opposite in meaning to the word(s) or phrase in italics ,,a,,utme,2003
c<u>olo</u>nel , golden, girl, colony , goal ,choose the option that has the same vowel sound as the one represented by the letter(s) underlined.,,b,,utme,2003
There was a <i>glut</i> of oil on the market,an abundance of,an increase in,a variety of,an accumulation of,choose the option nearest in meaning to the word(s) or phrase in italics.,,a,,utme,2003
I can't stand people prying into my private life. 'Ladi said '………… agree Agbenu,Me too ,Likewise myself ,Me neither ,I also ,most appropriate option,,b,,utme,2003
The manager paid us in hard currency  ,We were paid in a strong and stable currency ,We were paid in new notes ,We were paid in new notes,We were paid in foreign currency.,that best explains the information conveyed ,,a,,utme,2003
,cost    ,won’t    ,hope    ,coast ,choose the option that has a different vowel sound from the others.,,a,,utme,2003
The doctor examined the patient <i>painstakingly</i> ,Carefully ,Perfunctorily ,Professionally ,Painfully ,opposite in meaning to the word(s) or phrase in italics ,,c,,utme,2003
"Before announcing his retirement, Ochima resolved to <i>settle an account with</i> the bank.",get  back at ,pay back all he owes ,close his account with ,retire his loans from ,choose the option nearest in meaning to the word(s) or phrase in italics.,,a,,utme,2003
,there   ,dear    ,fair         ,bear,choose the option that has a different vowel sound from the others.,,c,,utme,2003
  It is bad to take………… property without permission. ,someone else's ,someone’s else, someone's ,someone's else's' ,most appropriate option,,b,,utme,2003
Tee<u>th</u>,taught,tank,though,thought, choose the option that has the same consonant sound as the one represented by the letter(s) underlined.,,d,,utme,2003
It is often……. that inflation ……….  from too much money chasing very few goods.    ,said/results,say/result      ,said/result   ,say/ resulted,most appropriate option,,a,,utme,2003
A <i>conservative</i> estimate put the number of missing persons at forty.,an accurate ,An incorrect ,A rough ,Primitive ,opposite in meaning to the word(s) or phrase in italics ,,a,,utme,2003
The man’s story sounded <i>plausible</i> to his audience ,credible ,entertaining ,fantastic ,credulous ,choose the option nearest in meaning to the word(s) or phrase in italics.,,d,,utme,2003
Typist,refuse  (noun),superb,propose,rebel (verb),choose the option that has the same stress pattern as the given word.,,a,,utme,2003
"If he went to London, he would see the Queen",He did not go to London and did not see the Queen, He would like to see the Queen when he goes to London,"When he goes to London, he will see the Queen ",He did not see the queen when he went to London.,that best explains the information conveyed ,,c,,utme,2003
 It was a free-for-all and the students were blamed for taking the law,in their own hands ,into their own hands ,into their hands ,in their hands.,most appropriate option,,b,,utme,2003
The company is to <i>shed</i> three thousand staff this year ,Throw up ,placate ,lay off,demote ,choose the option nearest in meaning to the word(s) or phrase in italics.,,c,,utme,2003
The team got <i>an ecstatic</i> welcome from the crowd.,An unexpected,a joyous,a cold,a thunderous,choose the option opposite in meaning to the word or phrase in italics.,,c,,utme,2004
We found a <i>shady</i> place for the display.,an open,an unsafe,a stuffy,an enclosed,choose the option opposite in meaning to the word or phrase in italics.,,a,,utme,2004
Agbo says he is not afraid of ………,anybody,nothing,nobody,no one,choose the option that best completes the gap(s).,,a,,utme,2004
expostulate,exposTUlate,expostuLATE,EXpostulate,exPOStulate,choose the appropriate stress pattern from the options. The syllables are written in capital letters.,,d,,utme,2004
All God’s prophets were given the great……….to preach salvation to people.,commission,commition,commission,commission,choose the option that best completes the gap(s).,,d,,utme,2004
Each producer  is able to place a price on his product by considering its…………,worth,choice,judgement,assessment,choose the option that best completes the gap(s).,,a,,utme,2004
………..as a federal capital only……….. the last twenty years.,has existed/for,existed/over,was existing/from,is existing/in,choose the option that best completes the gap(s).,,a,,utme,2004
sufficiency,sufFIciency,SUFficiency,sufficienCY,suffiCIENcy,choose the appropriate stress pattern from the options. The syllables are written in capital letters.,,a,,utme,2004
The teacher wants MY pen.,Does the teacher want his pen?,What does the teacher want?,Does the teacher want your ruler?,Who wants my pen?,the word in capital letters has the emphatic stress.  Choose the option to which the given sentence relates.,,a,,utme,2004
"After the war, the victors became increasingly <i>vindictive</i>",friendly,vociferous,arrogant,treacherous,choose the option opposite in meaning to the word or phrase in italics.,,a,,utme,2004
The manager’s knowledge of the strike is of <i>the utmost</i>  importance.,standard,genuine,paramount,basic,choose the option nearest in meaning to the word or phrase in italics.,,c,,utme,2004
The press describe the efforts of the government in <i>pejorative</i> terms.,critical,contemptible,palpable,superlative,choose the option nearest in meaning to the word or phrase in italics.,,a,,utme,2004
Okonkwo manages his household <i>with a heavy hand.</i>,like a powerful dictator,using the cane on every occasion,without tolerating weakness,like a heavy weight champion.,choose the option nearest in meaning to the word or phrase in italics.,,c,,utme,2004
The chairman refused to shake…………. with the secretary,hand,his hand,hands,his hands,choose the option that best completes the gap(s).,,c,,utme,2004
Each of the houses…………, have got, Have,has,were given a new look.,choose the option that best completes the gap(s).,,c,,utme,2004
The dictator wanted <i>tractable</i> men in his cabinet.,reliable,intelligent ,tough,unruly,choose the option opposite in meaning to the word or phrase in italics.,,c,,utme,2004
You may not have heard the last word on the matter……..,may you have,haven’t you,have you,mayn’t have you?,choose the option that best completes the gap(s).,,c,,utme,2004
It is a <i>misnomer</i> to call three thousand naira a living wage.,an incontrovertible assertion,an appropriate term,a wrong description,a mishmash,choose the option nearest in meaning to the word or phrase in italics.,,c,,utme,2004
Everyone was ready to play the evil’s advocate in the impeachment controversy.,everyone was willing to speak against the impeachment to encourage discussion on it.,everyone was willing to defend an unpopular point of view concerning the impeachment.,everyone was willing to fight for the defenceless citizens no matter the consequences.,everyone was willing to be an evil genius in the controversy,that best explains the information conveyed in the sentence.,,a,,utme,2004
The <i>mottled</i> skin of a person with HIV indicates an advance stage  of its development.,Brown ,spotted,scaly,pimply,choose the option nearest in meaning to the word or phrase in italics.,,b,,utme,2004
n<u>i</u>ne,pint,gill,pin,click,choose the option that has the same vowel sound as the one represented by the letter(s) underlined.,,a,,utme,2004
Ibro shows enough <i>liberality</i>  with his meager income.,generosity,frugality,prodigality,insensitivity,choose the option nearest in meaning to the word or phrase in italics.,,a,,utme,2004
Beauty queens sometime wear <i>outlandish</i>  dresses.,beautiful,flashy,familiar,attractive,choose the option opposite in meaning to the word or phrase in italics.,,c,,utme,2004
b<u>ea</u>r,beer,steer,rare,fear,choose the option that has the same vowel sound as the one represented by the letter(s) underlined.,,d,,utme,2004
The student BOUGHT the book.,Who bought the book?,Did the student steal the book?,What did the student buy?,How will the student get the book?,the word in capital letters has the emphatic stress.  Choose the option to which the given sentence relates.,,b,,utme,2004
caus<u>ed</u>,chanced,frost,released,realized,choose the option that has the same consonant sound as the one represented by the letter(s) underline.,,b,,utme,2004
, foul,tout,owl,foe,choose the option that has a different vowel sound from the others.,,d,,utme,2004
People dislike Mariam because she is ……………,trickful, trickish,trickly,tricker,choose the option that best completes the gap(s).,,c,,utme,2004
My father’s presentation was rather <i>causal</i>,formal,vital,informal ,divisive,choose the option opposite in meaning to the word or phrase in italics.,,a,,utme,2004
The school’s badge is the <i>insignia</i> of office for all the prefects in the school.,Power,symbol,seal,recognition,choose the option nearest in meaning to the word or phrase in italics.,,b,,utme,2004
His plans <i>boomeranged</i> on him,bounce,fell,catapulted,backfired,choose the option nearest in meaning to the word or phrase in italics.,,d,,utme,2004
Sailors are unusually <i>dauntless</i> in their exploits,selfless,ruthless,excited,frightened,choose the option opposite in meaning to the word or phrase in italics.,,d,,utme,2004
"Actually, he forgot the one to …………… the job was given.",whom,who,whomever,whoever,choose the option that best completes the gap(s).,,a,,utme,2004
The town was in such a <i>turmoil</i> that the dance was called off.,mourning state,rainy state,state of darkness,state of confusion,choose the option nearest in meaning to the word or phrase in italics.,,d,,utme,2004
The storm………….. Havoc on several buildings in the village.,wreaked,wrecked,made,did,choose the option that best completes the gap(s).,,a,,utme,2004
The prosecutor was fully able to <i>substantiate</i> the charge.,expatiate on,prove,dismiss,weaken,choose the option nearest in meaning to the word or phrase in italics.,,b,,utme,2004
"In many countries, democracy is ostensibly being practiced.",democracy is indeed being practiced  in many countries,many countries have effective democracy.,many countries have democracy in practice,democracy is apparently practice in many countries.,that best explains the information conveyed in the sentence.,,d,,utme,2004
"……………his illness, Muhammad could not come to school.",with reference to,referring to,owing to,due to .,choose the option that best completes the gap(s).,,d,,utme,2004
No teacher of honour would subject his student to any form of ……..,harassment,Harassment,harassment,harassment,choose the option that best completes the gap(s).,,b,,utme,2004
I shall find time for my ……… when I get …… with this difficult assignment.,Pat time /over,pass-time/over,pastime/through,pastime/through,choose the option that best completes the gap(s).,,d,,utme,2004
Emeka’s painting was <i>so realistic</i>  that it could almost have been a photograph,picture square,concrete,lively,authentic,choose the option nearest in meaning to the word or phrase  in italics ,,b,,utme,2005
jurisprudence,JUrisprudence,juRISprudence, jurisPRUdence,jurispruDENCE,choose the appropriate stress pattern from the options. The syllables are written in capital letters,,c,,utme,2005
The views of the plateau are in stark contrast to the <i>workaday</i> cottages below,ordinary an uninteresting,beautiful an interesting,comfortable an fascinating,ugly an unfascinating,choose the option opposite in meaning to the word or phrase in italics.,,d,,utme,2005
Many people use to lie in <i>poverty</i>,instability,want,difficult,the slums,choose the option nearest in meaning to the word or phrase  in italics ,,c,,utme,2005
The Governor parried all the questions put to him by the journalist.,The Governor answered all the questions brilliantly,The Governor evaded all the questions,The Governor failed all the questions,The Governor mastered all the questions,select the option that best explains the information conveyed in the sentence.,,b,,utme,2005
The Bank Manager assured us that there was nothing to worry about,as regard to the loan ,with regards to the loan,in regard of the loan  ,with regard to the loan,choose the option that best completes the gap(s),,b,,utme,2005
The man puts his foot down whenever he is convince of his action,He desires to assert his will in the situation,He makes his mark wherever he goes,His attitude demonstrates someone who likes  to oppress others around him,He demonstrates firmness of character,select the option that best explains the information conveyed in the sentence.,,d,,utme,2005
The officer was given an <i>invidious</i> task,vivid,cruel,pleasant,sinister,choose the option opposite in meaning to the word or phrase in italics.,,c,,utme,2005
We won't leave until it ……..  Raining,will stop ,stopped,stops    ,has stopped,choose the option that best completes the gap(s),,c,,utme,2005
The train ………. before I arrived,was leaving   ,has left,had left   ,would leave ,choose the option that best completes the gap(s),,c,,utme,2005
downtrodden,downgrading,prescribing,functional,internal,choose the option that has same stress pattern as the given word.,,d,,utme,2005
suburbanite,SUburbanite,suBURbanite,  suburBAnite,suburbaNITE,choose the appropriate stress pattern from the options. The syllables are written in capital letters,,c,,utme,2005
One thing I will not be complaining about in my new job is a lack of excitement,The job is bad  ,The job is exiting,The job is not too exciting,The job has been previously done,select the option that best explains the information conveyed in the sentence.,,b,,utme,2005
Idris gives me a <i>sour</i> look every time I pass by him,bad,satisfactory,friendly,sinister,choose the option opposite in meaning to the word or phrase in italics.,,c,,utme,2005
Obi’s dog is old but still <i>lively</i>,attractive,howling,barking,frisky,choose the option nearest in meaning to the word or phrase  in italics ,,d,,utme,2005
"As we sat ………the silence, my eyes……..  the room",under/looked  ,over/surrounded , in/roamed, along/observed,choose the option that best completes the gap(s),,c,,utme,2005
The dramatist provided as satisfactory <i>denouement</i>  to the play,audition,climax,lavish,simple,choose the option opposite in meaning to the word or phrase in italics.,,b,,utme,2005
His <i>taciturnity</i> amaze everyone in one court during the legal tussle,obliviousness,reticence,sensibility ,pervasiveness,choose the option nearest in meaning to the word or phrase  in italics ,,b,,utme,2005
refuse(noun),reform   ,intact   ,obscure,phantom,choose the option that has same stress pattern as the given word.,,d,,utme,2005
"By the end of the football match today, we ……. the best player",could have known  ,might have known,will have known ,would have known ,choose the option that best completes the gap(s),,d,,utme,2005
The crisis ended as suddenly as it began,The crisis ha suddenly as it began,The crisis will not end suddenly,The crisis stopped almost immediately,The crisis will stop immediately.,select the option that best explains the information conveyed in the sentence.,,c,,utme,2005
The public library has stopped………. books to readers,borrowing,lending ,renting ,loaning,choose the option that best completes the gap(s),,a,,utme,2005
g<u>uar</u>d,gourd,guide,argue,chat,choose the option that has the same vowel sound as the one represented by the letter(s) underlined,,c,,utme,2005
No wonder Sikemi later became a detective; she has been very <i>observant </i>,curious,perceptive,inductive,inquisitive,choose the option nearest in meaning to the word or phrase  in italics ,,a,,utme,2005
It is African for a younger person to show……..to elders,understanding ,indifference ,deference,satisfaction ,choose the option that best completes the gap(s),,c,,utme,2005
The <i>common</i> practice among some media practitioners is to be sensational in their reporting,prevalent,rampant,ordinary,cogent,choose the option nearest in meaning to the word or phrase  in italics ,,a,,utme,2005
l<u>u</u>ck,lock,lack,brother,turn,choose the option that has the same vowel sound as the one represented by the letter(s) underlined,,a,,utme,2005
The Secretary-General was shocked at the number of…….,child's soldiers   ,childish soldiers  ,children soldiers ,child soldiers,choose the option that best completes the gap(s),,d,,utme,2005
b<u>ee</u>r,bear, pear , fair, pier,choose the option that has the same vowel sound as the one represented by the letter(s) underlined,,d,,utme,2005
The teacher recounted two events that were <i>analogous</i>  with  each other,similar with,Advantageous to,distant from,different from,choose the option opposite in meaning to the word or phrase in italics.,,d,,utme,2005
Nigeria has been playing a <i>vital role</i> in the political an economic development of Africa,creditable,crucial,respectable,laudable,choose the option nearest in meaning to the word or phrase  in italics ,,b,,utme,2005
The man is refurbishing the flat with a view to ……. it.,sell   ,selling ,have sold ,be selling  ,choose the option that best completes the gap(s),,d,,utme,2005
I am writing to you for ……..  reasons,concerned ,several,plenty ,myriad of,choose the option that best completes the gap(s),,b,,utme,2005
Manu is hard to convince because he is an <i>opinionated</i>  person,an objective,an imperative,a subjective,a discursive,choose the option opposite in meaning to the word or phrase in italics.,,c,,utme,2005
The boxer <i>fizzled</i> out just in the sixth round,knocked out his opponent,showed off his talents,became tire out fought on spiritedly,surrendered rather disappointingly,choose the option nearest in meaning to the word or phrase  in italics ,,d,,utme,2005
The class was tired of the new boy jawing away all the time.,He bit off people’s jaws,He was always chewing in the class.,He was always making trouble for the class,He talked continuously in the class,select the option that best explains the information conveyed in the sentence.,,d,,utme,2005
"Yesterday, my mother asked me.... ", If I am tired? ,are you tired?, whether was I tired?,If I was tired,choose the option that best completes the gap(s),,d,,utme,2005
"If the trader paid in full, his order was not pruned down.",The trader who made full payment did not have his order reduced,The trader who made some payment did not have his order delayed.,Unless the trader paid in full his order would be rejected.,"As the trader did not increase his order, he did not need to pay in full",select the option that best explains the information conveyed in the sentence.,,a,,utme,2005
Many Nigerians are <i>wary</i> of night journeys,worried about,unscarred of,satisfied with,troubled about,choose the option opposite in meaning to the word or phrase in italics.,,c,,utme,2005
The new Headmaster hoped that his men would pull together,He expected that the men would cooperate with him,He thought that the men would compose themselves at work,He was certain that they would resign en masse,He was certain that their condition would improve under him.,select the option that best explains the information conveyed in the sentence.,,a,,utme,2005
"For beating ……. his course mate, Agbaji was……… from the university.",up/rusticated ,on/expelled,at/removed ,away/sent out ,choose the option that best completes the gap(s).,,a,,utme,2006
The police found a <i>conclusive</i> proof of the boy's guilt,a corroborative ,A doubtful ,a consolatory, an incriminating,choose the option opposite in meaning to the word or phrase in italics.,,b,,utme,2006
Akpan was able to <i>douse</i> the flames with the new piece of equipment,reduce ,extinguish ,ignite ,reinforce,choose the option opposite in meaning to the word or phrase in italics.,,d,,utme,2006
"Because Jamiu is so <i>easily offended,</i> he was not considered for the post of headboy",Irritable    ,stubborn   ,troublesome ,docile,choose the option nearest in meaning to the word or phrase in italics,,a,,utme,2006
"Despite all preparations, the wedding did not …..",come along ,come by,come on ,come off,choose the option that best completes the gap(s).,,d,,utme,2006
The class has fallen in with the teacher's plans,The class has ignored the plans,The class has rejected the plans, The class has accepted the plans,The class has modified the plans,the option that best explains the information conveyed in the sentence. ,,c,,utme,2006
Everybody is allowed to ………. his views on state matters ,Air ,hear ,show ,share ,choose the option that best completes the gap(s).,,a,,utme,2006
I watched him as he……  the hole,dug ,digs,is digging ,dugged,choose the option that best completes the gap(s).,,a,,utme,2006
Adamu is rather <i>meddlesome</i> in dealing with his friends,impertinent ,intimidating ,quarrelsome, uncaring,choose the option nearest in meaning to the word or phrase in italics,,c,,utme,2006
c<u>o</u>ck,cop   ,cope ,cork ,cup,choose the option that has the same vowel sound as the one represented by the letter(s) underlined.,,a,,utme,2006
Unfair ,insight ,towards ,first-class,instant ,choose the option that has the same stress pattern as the given word.,,c,,utme,2006
He has hardly spoken when the bell rang ,"He found it difficult to speak, and then the bell rang","When the bell rang, he was still speaking ",The bell rang very soon after he spoke,He spoke in a harsh manner and the bell rang ,the option that best explains the information conveyed in the sentence. ,,c,,utme,2006
  bush<u>es</u>,shapes ,shoes  ,rapes   ,rakes,choose the option that has the same consonant sound as the one represented by the letter(s) underlined.,,b,,utme,2006
,competent ,represent , syllabus ,quality ,choose the option that has a different stress pattern from the others. ,,b,,utme,2006
1 owe you far less than you owe me,My debt to you is greater than yours to me,Your debt is not much greater than mine,What we owe each other Is approximately the same,"I owe you something, but you owe me much more",the option that best explains the information conveyed in the sentence. ,,d,,utme,2006
A <i>tentative</i> solution was provided,A convincing , provisional,An amicable ,A definite,choose the option opposite in meaning to the word or phrase in italics.,,d,,utme,2006
"After the meeting, I read a <i>leer</i> on his face as he looked at the woman.   ",satisfying meaning ,bad look ,pleasant disposition ,poor smile,choose the option nearest in meaning to the word or phrase in italics,,b,,utme,2006
The chairman advised the participants to follow <i>convention</i> in stating their points.,eloquence ,advice ,prudence ,tradition,choose the option nearest in meaning to the word or phrase in italics,,d,,utme,2006
The brave hunter killed the ………… in the forest ,big spitting cobra black,Black big spitting cobra ,big black spitting cobra ,big spitting black cobra ,choose the option that best completes the gap(s).,,c,,utme,2006
The witness provided a <i>monstrous</i> account of the event,supportive  ,tragic,shocking ,verbatim,choose the option nearest in meaning to the word or phrase in italics,,c,,utme,2006
h<u>ur</u>t,hut ,girl ,hate   ,hot,choose the option that has the same vowel sound as the one represented by the letter(s) underlined.,,b,,utme,2006
His loss suddenly became <i>redeemable</i> ,Incurable  ,exclusive,recoverable ,repulsive,choose the option nearest in meaning to the word or phrase in italics,,c,,utme,2006
The action was <i>premeditated</i>,unnecessary ,catastrophic ,unplanned ,uncoordinated,choose the option opposite in meaning to the word or phrase in italics.,,c,,utme,2006
He gave himself up by his <i>plebeian</i> tastes,robust ,voracious ,patrician   ,laughable,choose the option opposite in meaning to the word or phrase in italics.,,c,,utme,2006
apparent ,arrested ,telephone ,paragraph ,appetite ,choose the option that has the same stress pattern as the given word.,,c,,utme,2006
77. The recommended novel has a <i>convoluted</i> theme, a simple ,an attractive ,a disgusting ,a complicated ,choose the option nearest in meaning to the word or phrase in italics,,d,,utme,2006
He has no reason to <i>have his heart in his mouth</i>, think negatively, feel guilty , be afraid, be confident,choose the option opposite in meaning to the word or phrase in italics.,,d,,utme,2006
"The notice reads, No <i>cash</i> transactions in this hall'",money   ,gainful ,business ,cheque,choose the option opposite in meaning to the word or phrase in italics.,,d,,utme,2006
He is <i>prolific</i>  writer ,a very productive,a well-known,a clever ,an influential ,choose the option nearest in meaning to the word or phrase in italics,,a,,utme,2006
The reporter made a <i>masterly</i> analysis of the situation,an unskilful ,a mistaken ,an indepth,a proper,choose the option opposite in meaning to the word or phrase in italics.,,a,,utme,2006
"In our last play, Segun acted the <i>hero</i>",villain  , devil ,criminal , assassin,choose the option opposite in meaning to the word or phrase in italics.,,a,,utme,2006
The man drew a sword as people <i>congregated round</i> him,praised, gathered round , mobbed , fled from,choose the option opposite in meaning to the word or phrase in italics.,,d,,utme,2006
gara<u>ge</u>,gear   ,sure   ,pressure ,measure,choose the option that has the same consonant sound as the one represented by the letter(s) underlined.,,d,,utme,2006
     ………….  been there to look for her several times without success.,He'll,He’s  ,Is he ,He is,choose the option that best completes the gap(s).,,b,,utme,2006
<i>No sooner had</i> he arrived than it started to rain, Long before , Seldom ,Simultaneously,Just before,choose the option opposite in meaning to the word or phrase in italics.,,a,,utme,2006
c<u>h</u>aracter,unique   ,charade   ,arch   ,church ,choose the option that has the same consonant sound as the one represented by the letter(s) underlined.,,a,,utme,2006
The government has announced its <i>preparedness for</i> the scheme,determination ,regret ,pleasure ,readiness,choose the option nearest in meaning to the word or phrase in italics,,d,,utme,2006
Genealogy ,GeneaLOGY,geneAlogy,geNEalogy ,GEnealogy ,choose the appropriate stress pattern from the options. The syllables are written in capital letters.,,b ,,utme,2006
The old man was rushed to hospital when his blood  pressure dropped to a ……..  level,dangerously lowly,dangerous lowly , dangerously low, dangerous low,choose the option that best completes the gap(s).,,c,,utme,2006
"He wrote to you,……….  ?",hadn’t he ,wouldn’t  he ,didn’t he,hasn’t he,choose the option that best completes the gap(s).,,c,,utme,2006
The astute businessman neatly <i>fended</i> off questions off questions about his private life.,asked ,explained ,welcomed,sidestepped.,choose the option nearest in meaning to the word or phrase in italics.,,a,,utme,2007
The team has benefitted from the coach's ………. of experience. ,minefield ,reservoir ,wealth ,world ,choose the option that best completes the gap(s).,,c,,utme,2007
Kola was fined; ……….. thieves were given a jail sentence.,the rest of the,rest ,the rest,rest off ,choose the option that best completes the gap(s).,,a,,utme,2007
The tax rebate was a <i>concession</i> given to the civil servants ,a donation , an allowance,an incentive  ,an emolument. ,choose the option nearest in meaning to the word or phrase in italics.,,b,,utme,2007
There's a door at either end of the building.,The building has two ends and two doors. ,"The building has two ends, but only one doc'","The building has two ends, but I do not know which of the two has a door. ",The building has many ends each with a door.,select the option that best explains the information conveyed in the sentence.,,a,,utme,2007
The debt the company incurred became rather <i>intolerable</i>. ,inevitable   ,unprecedented,insupportable ,dangerous.,choose the option nearest in meaning to the word or phrase in italics.,,c,,utme,2007
 <i>Beads</i> of sweat ran down Ngozi's armpit,Pools,Springs   ,Ponds    ,Rivulets.,choose the option nearest in meaning to the word or phrase in italics.,,d,,utme,2007
We were warned not to indulge in <i>recriminations.</i>,counter-charges      ,indiscretions  ,accusation,frivolous allegations.,choose the option nearest in meaning to the word or phrase in italics.,,a,,utme,2007
association ,aSSociation    ,associaTION,associAtion   ,Association.,choose the appropriate stress pattern from the options. The syllables are written in capital letters.,,c,,utme,2007
The suggestions he made were very <i>unobtrusive</i>,forceful   ,helpful ,sincere    ,reasonable.,choose the option opposite in meaning to the word or phrase in italics.,,a,,utme,2007
E<u>ngs</u>lish,end,thin,think,edge,choose the option that has the same consonant sound as the one represented by the letter(s) underlined.,,c,,utme,2007
The noise across the road  <i>drowned</i> the sound of the keyboard in my room, neutralized , overshadowed,balanced   ,equalized.,choose the option nearest in meaning to the word or phrase in italics.,,a,,utme,2007
 He <i>deprecated</i> the attempts made to unseat him.,despised,challenged    ,resisted,condemned,choose the option nearest in meaning to the word or phrase in italics.,,c,,utme,2007
He holds on firmly to his <i>hackneyed</i> view of life,wayward  ,principled, obsolete,positive.,choose the option nearest in meaning to the word or phrase in italics.,,c,,utme,2007
bl<u>ues</u>,book,root,foot,look,choose the option that has the same vowel sound as the letter(s) underlined.,,d,,utme,2007
Our soldiers are starting to zero …………. the enemy.,at    ,in on , unto ,on at ,choose the option that best completes the gap(s).,,b,,utme,2007
Is it necessary for us to go?' she asked in her <i>shrill</i> voice ,angry ,quiet, indistinct ,aggressive.,choose the option opposite in meaning to the word or phrase in italics.,,c,,utme,2007
... went to the stadium to watch a football match.,Amadi and me  ,Amadi and I   ,Me and  Amadi   ,Amadi and myself  ,choose the option that best completes the gap(s).,,b,,utme,2007
My advice to Tolu was: 'Look before you leap.',Tolu was advised to consider her opinions before reaching any decisions.,Tolu was advised to consider the possible consequences before taking action.,Tolu was advised to weigh her decisions by looking and leaping.  ,Tolu was advised to leap only after looking.,select the option that best explains the information conveyed in the sentence.,,b,,utme,2007
, intact  , integral ,negotiate ,about.,choose the option that has the stress on the first syllable.,,b,,utme,2007
,education ,individual ,agriculture,Cinderella.,choose the option that has a different stress pattern from the others.,,d,,utme,2007
advertisement ,adVERtisement  ,advertiseMENT, adverTISEment   ,ADvertisement.,choose the appropriate stress pattern from the options. The syllables are written in capital letters.,,a,,utme,2007
